timestamp_ms,timestamp,open,high,low,close,volume,quote_asset_volume,last_trade_id,sample_count,open_raw,high_raw,low_raw,close_raw
1779687600000,2026-05-25 05:40:00,2108.34,2109.93,2108.34,2109.36,173.2242,365351.029287,20728926838,0,0.0,0.0,0.0,0.0
1779687900000,2026-05-25 05:45:00,2109.36,2109.5,2107.48,2108.53,267.2143,563442.181269,20729123273,0,0.0,0.0,0.0,0.0
1779688200000,2026-05-25 05:50:00,2108.53,2108.66,2106.78,2107.97,142.6631,300676.468558,20729300626,0,0.0,0.0,0.0,0.0
1779688500000,2026-05-25 05:55:00,2107.97,2108.27,2106.57,2107.11,325.15250000000003,685180.220677,20729460081,0,0.0,0.0,0.0,0.0
1779688800000,2026-05-25 06:00:00,2107.11,2108.07,2104.8,2105.36,315.08369999999996,663735.652591,20729688370,0,0.0,0.0,0.0,0.0
1779689100000,2026-05-25 06:05:00,2105.36,2110.43,2104.18,2108.86,285.0496,600409.912467,20729975420,0,0.0,0.0,0.0,0.0
1779689400000,2026-05-25 06:10:00,2108.86,2108.86,2102.01,2102.14,618.9478,1302510.787757,20730225121,0,0.0,0.0,0.0,0.0
1779689700000,2026-05-25 06:15:00,2102.14,2102.78,2100.55,2101.51,977.0344000000001,2053193.7875330003,20730458346,0,0.0,0.0,0.0,0.0
1779690000000,2026-05-25 06:20:00,2101.51,2102.05,2098.64,2098.69,312.2178,655805.800554,20730704558,0,0.0,0.0,0.0,0.0
1779690300000,2026-05-25 06:25:00,2098.69,2100.91,2098.3,2100.61,341.7571,717636.564953,20730904845,0,0.0,0.0,0.0,0.0
1779690600000,2026-05-25 06:30:00,2100.61,2105.31,2100.35,2104.83,401.0031,843416.79786,20731152078,0,0.0,0.0,0.0,0.0
1779690900000,2026-05-25 06:35:00,2104.83,2107.19,2104.82,2105.87,375.8713,791458.935235,20731351355,0,0.0,0.0,0.0,0.0
1779691200000,2026-05-25 06:40:00,2105.87,2107.41,2105.5,2105.53,254.3774,535714.512645,20731521943,0,0.0,0.0,0.0,0.0
1779691500000,2026-05-25 06:45:00,2105.53,2108.85,2105.24,2107.54,196.6212,414373.502869,20731720192,0,0.0,0.0,0.0,0.0
1779691800000,2026-05-25 06:50:00,2107.54,2108.69,2107.18,2107.85,1015.9260999999999,2141174.3197669997,20731888134,0,0.0,0.0,0.0,0.0
1779692100000,2026-05-25 06:55:00,2107.85,2108.74,2106.48,2107.95,174.8207,368469.348074,20732069637,0,0.0,0.0,0.0,0.0
1779692400000,2026-05-25 07:00:00,2107.95,2116.8,2107.95,2115.09,787.0348,1663001.716313,20732341393,0,0.0,0.0,0.0,0.0
1779692700000,2026-05-25 07:05:00,2115.09,2115.61,2112.34,2112.41,518.6789,1096214.945439,20732550373,0,0.0,0.0,0.0,0.0
1779693000000,2026-05-25 07:10:00,2112.41,2112.81,2109.6,2110.87,219.4755,463390.414454,20732748586,0,0.0,0.0,0.0,0.0
1779693300000,2026-05-25 07:15:00,2110.87,2113.42,2106.42,2107.5,546.5474,1153523.985899,20733064631,0,0.0,0.0,0.0,0.0
1779693600000,2026-05-25 07:20:00,2107.5,2108.75,2105.5,2108.44,1309.7106999999999,2760855.7262709998,20733348341,0,0.0,0.0,0.0,0.0
1779693900000,2026-05-25 07:25:00,2108.44,2108.45,2105.96,2106.64,470.0753,990633.4323410001,20733546767,0,0.0,0.0,0.0,0.0
1779694200000,2026-05-25 07:30:00,2106.64,2110.66,2105.67,2109.35,395.1015,832811.556195,20733829485,0,0.0,0.0,0.0,0.0
1779694500000,2026-05-25 07:35:00,2109.35,2109.65,2107.95,2108.95,150.4913,317357.658275,20734020608,0,0.0,0.0,0.0,0.0
1779694800000,2026-05-25 07:40:00,2108.95,2109.71,2107.65,2109.08,145.3965,306558.97761999996,20734209103,0,0.0,0.0,0.0,0.0
1779695100000,2026-05-25 07:45:00,2109.08,2112.51,2108.58,2111.3,340.0535,717902.1742469999,20734420199,0,0.0,0.0,0.0,0.0
1779695400000,2026-05-25 07:50:00,2111.3,2112.8,2109.73,2112.8,278.2885,587429.097382,20734640104,0,0.0,0.0,0.0,0.0
1779695700000,2026-05-25 07:55:00,2112.8,2115.68,2112.0,2115.4,621.4553999999998,1313378.9973260001,20734849659,0,0.0,0.0,0.0,0.0
1779696000000,2026-05-25 08:00:00,2115.4,2115.6,2112.63,2113.94,674.3533000000001,1425132.79107,20735064635,0,0.0,0.0,0.0,0.0
1779696300000,2026-05-25 08:05:00,2113.94,2114.23,2112.06,2113.79,220.50509999999997,465930.82469800004,20735249813,0,0.0,0.0,0.0,0.0
1779696600000,2026-05-25 08:10:00,2113.79,2113.79,2110.75,2111.25,237.75209999999998,502139.944968,20735437944,0,0.0,0.0,0.0,0.0
1779696900000,2026-05-25 08:15:00,2111.25,2112.15,2111.15,2111.76,99.195,209451.775547,20735621126,0,0.0,0.0,0.0,0.0
1779697200000,2026-05-25 08:20:00,2111.76,2112.67,2110.66,2111.05,96.1469,203039.911685,20735800317,0,0.0,0.0,0.0,0.0
1779697500000,2026-05-25 08:25:00,2111.05,2111.92,2110.65,2111.56,156.3692,330153.431353,20735981818,0,0.0,0.0,0.0,0.0
1779697800000,2026-05-25 08:30:00,2111.56,2113.33,2111.5,2113.11,196.6916,415522.35311699996,20736167056,0,0.0,0.0,0.0,0.0
